id,name,review_count,categories1,categories2,categories3,rating,price,address1,address2,address3,city,zip_code,latitude,longitude,nlp_avg_score,cluster5
TCJrcryBkI6eg2HYThoiKg,Petite Crevette,345,seafood,french,,4.0,$$,144 Union St,,,Brooklyn,11231,40.68396015,-74.00180035,0.62006947,3
t7BfQiZxAqahU-8hgp69Ig,Speedy's Burgers & Bowls,25,burgers,salad,tacos,4.0,$$,84 1/2 Morris St,,,Jersey City,7302,40.7138995,-74.0377567,0.576049445,3
up9NvpouAUhj_L0yBoxtng,Pi Bakerie,58,greek,bakeries,coffee,4.5,,35 Cedar St,,,New York,10005,40.70725332,-74.00821327,0.57282853,3
0fInrM78IqLeLxo4yEQRQQ,Chambers,23,newamerican,beerbar,cocktailbars,4.5,,94 Chambers St,,,New York,10007,40.71460451,-74.00755015,0.75918613,3
2ggi1luerd3Mf_C82JvCYg,Grimaldi's Pizzeria,4965,pizza,desserts,beer_and_wine,3.5,$$,1 Front St,,,Brooklyn,11201,40.7026459,-73.9932413,0.48913633,4
vijwGDNrPBJHEG7_DsjZNw,Usagi NY,86,bookstores,cafes,homedecor,4.0,$$,163 Plymouth St,,,Dumbo,11201,40.70383,-73.98691,0.08572651,3
LLHY7JMG16gYuJzDYRskRQ,Icca,25,japanese,,,4.5,,20 Warren St,,,New York,10007,40.71426825,-74.00770596,0.53743031,3
VPvzN_5CjRa4CghVbOvFIg,GG’S Fish & Chips,22,fishnchips,seafood,chickenshop,4.5,,234 Hoyt St,,,Brooklyn,11217,40.68313,-73.99027,0.449680955,3
BQSPAXJcPw-7Gt2CCrH2Yw,Ita Italian Kitchen,254,pizza,italian,cocktailbars,4.5,$$,682 Bergen Ave,,,Jersey City,7304,40.72347486,-74.0703173,0.48966634,3
Bo_a2ZJ2N_3TNCiXyUh5bA,Gussy's Cafe,29,breakfast_brunch,cafes,coffee,4.5,,292 Newark Ave,,,Jersey City,7302,40.72396539,-74.04992362,0.64513837,3
bn3qRcfBg0YG1-zIR1hscA,Drift In,152,seafood,bars,,4.0,,389 W St,,,New York,10014,40.7329109,-74.0106435,0.51099995,3
k5BZq7XdRFr4xMbZMMGxxg,Dos Toros Taqueria,28,mexican,,,4.0,,1 State St,,,New York,10004,40.70333,-74.01412,0.48119028999999996,3
2LaQhVf41cPkErK4Q3R3GA,8-Bit Bites,60,tradamerican,halal,,4.0,$$,113 Court St,,,Brooklyn,11201,40.69059,-73.991666,0.552743245,3
3UdlrH-tuVM0vy3ySh7bUw,Jacob's Pickles Time Out Market,107,comfortfood,southern,,4.5,$$,55 Water St,,,Brooklyn,11201,40.70341673,-73.99160957,0.55376586,3
bSi2f2TaOr4RVTI5eFt0wQ,Taste Of North China,306,bubbletea,dimsum,noodles,3.0,$$,75 Montgomery St,,,Jersey City,7302,40.7167868,-74.03776257,0.06423339,5
ySbVtwa_PHQIlnKVMNSNeQ,Shake Shack Battery Park City,982,burgers,icecream,hotdog,4.0,$$,215 Murray St,,,New York,10282,40.715283,-74.014799,-0.23763326,2
56qlj1cYlqNzmG0xllGg-w,Westville,407,mediterranean,,,4.0,$$,81 Washington St,,,Brooklyn,11201,40.70208865,-73.98945414,0.590850815,3
HGLH-sa-Fp3X6UXcaG7U0g,66S Fusion,206,sushi,japanese,buffets,4.0,$$,130 Flushing Ave,,,Brooklyn,11205,40.69776002,-73.97157407,0.11687900500000001,3
dskDbpvA0hI_7RjtoL6IKA,SUGARFISH | Soho,281,sushi,japanese,,4.0,$$$,202 Spring St,,,New York,10012,40.725117,-74.003685,0.5483366700000001,3
FebvtuoXRQ8h8CZMe8NeYw,B'artusi,37,italian,wine_bars,breakfast_brunch,4.0,,520 Hudson St,,,New York,10014,40.73401,-74.00607,0.57342231,3
KogxM0x2p9auUyU4h4CAqQ,Cremini's - Aperitivo & Kitchen,64,italian,,,4.5,,521 Court St,,,Brooklyn,11231,40.674968,-73.999242,0.640418145,3
bTubS7dDqUbqSZg4HhXlvA,Sociale,57,italian,tapasmallplates,pizza,4.0,$$,320 Court St,,,New York,11231,40.68324877,-73.9956224,0.49381745,3
2Mia4J1QKd247oh2IkuEdg,The Cauldron NYC,374,cocktailbars,gastropubs,,3.5,$$,47 Stone St,,,New York,10004,40.7043756,-74.0105259,0.146962735,3
suEoAFFWEj-RA3smDVqDbA,Morton's The Steakhouse,306,steak,tradamerican,bars,4.0,$$$,136 Washington St,,,New York,10006,40.70970052,-74.0139538,0.57508592,3
